Designator,Mid X,Mid Y,Rotation,Layer
C1_5,22.172198,-30.721595,270.0,bottom
C1_4,42.436388,-30.721595,270.0,bottom
C1_3,103.228958,-30.721595,270.0,bottom
C1_2,82.964768,-30.721595,270.0,bottom
C1,62.700578,-30.721595,270.0,bottom
C2_5,103.238958,-28.601595,270.0,bottom
C2_4,42.446388,-28.601595,270.0,bottom
C2_3,22.182198,-28.601595,270.0,bottom
C2_2,62.710578,-28.601595,270.0,bottom
C2,82.974768,-28.601595,270.0,bottom
J1_5,58.780578,-30.395431,180.0,bottom
J1_4,79.044768,-30.395431,180.0,bottom
J1_3,38.516388,-30.395431,180.0,bottom
J1_2,99.308958,-30.395431,180.0,bottom
J1,18.252198,-30.395431,180.0,bottom
P1_5,78.658268,-14.16722,180.0,bottom
P1_4,58.394078,-14.16722,180.0,bottom
P1_3,98.922458,-14.16722,180.0,bottom
P1_2,17.865698,-14.16722,180.0,bottom
P1,38.129888,-14.16722,180.0,bottom
R1_5,76.324768,-18.431595,0.0,bottom
R1_4,35.796388,-18.431595,0.0,bottom
R1_3,56.060578,-18.431595,0.0,bottom
R1_2,15.532198,-18.431595,0.0,bottom
R1,96.588958,-18.431595,0.0,bottom
R2_5,13.142198,-18.451595,180.0,bottom
R2_4,33.406388,-18.451595,180.0,bottom
R2_3,53.670578,-18.451595,180.0,bottom
R2_2,73.934768,-18.451595,180.0,bottom
R2,94.198958,-18.451595,180.0,bottom
SW1_5,58.863194,-29.645345,0.0,top
SW1_4,18.334814,-29.645345,0.0,top
SW1_3,99.391574,-29.645345,0.0,top
SW1_2,79.127384,-29.645345,0.0,top
SW1,38.599004,-29.645345,0.0,top
